Semaine,Value
2023-11-05,19
2023-10-29,21
2023-10-22,24
2023-10-15,19
2023-10-08,20
2023-10-01,32
2023-09-24,18
2023-09-17,19
2023-09-10,21
2023-09-03,19
2023-08-27,19
2023-08-20,19
2023-08-13,23
2023-08-06,22
2023-07-30,21
2023-07-23,23
2023-07-16,25
2023-07-09,27
2023-07-02,40
2023-06-25,33
2023-06-18,27
2023-06-11,25
2023-06-04,25
2023-05-28,28
2023-05-21,25
2023-05-14,26
2023-05-07,20
2023-04-30,24
2023-04-23,24
2023-04-16,22
2023-04-09,23
2023-04-02,23
2023-03-26,24
2023-03-19,33
2023-03-12,79
2023-03-05,49
2023-02-26,52
2023-02-19,41
2023-02-12,33
2023-02-05,27
2023-01-29,33
2023-01-22,39
2023-01-15,50
2023-01-08,100
2023-01-01,42
2022-12-25,60
2022-12-18,46
2022-12-11,41
2022-12-04,39
2022-11-27,45
2022-11-20,59
2022-11-13,35
